Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played,won
Tyreke Evans,21,Guard,SAC,57.0,53,37.0,17.8,0.409,0.4320000000000001,0.29100000000000004,0.7709999999999999,0.8,4.0,4.8,5.6,1.5,0.5,3.2,2.5,2011,0
Jordan Farmar,24,Guard,BRK,73.0,18,24.6,9.6,0.392,0.421,0.359,0.82,0.3,2.0,2.4,5.0,0.8,0.1,1.9,1.8,2011,0
Raymond Felton,26,Guard,TOT,75.0,54,36.5,15.5,0.425,0.46,0.353,0.805,0.6,2.9,3.6,8.3,1.7,0.1,2.9,2.0,2011,0
Rudy Fernández,25,Guard,POR,78.0,3,23.3,8.6,0.37,0.453,0.321,0.863,0.5,1.7,2.2,2.5,1.1,0.2,1.1,1.7,2011,0
Landry Fields,22,Guard,NYK,82.0,81,31.0,9.7,0.4970000000000001,0.556,0.393,0.769,1.3,5.1,6.4,1.9,1.0,0.2,1.3,1.4,2011,0
Randy Foye,27,Guard,LAC,63.0,24,24.6,9.8,0.388,0.43,0.327,0.893,0.2,1.4,1.6,2.7,0.7,0.3,1.5,1.9,2011,0
Channing Frye,27,Forward,PHO,77.0,64,33.0,12.7,0.4320000000000001,0.479,0.39,0.8320000000000001,0.8,5.8,6.7,1.2,0.6,1.0,0.9,3.5,2011,0
Danilo Gallinari,22,Forward,TOT,62.0,60,33.9,15.6,0.414,0.467,0.35200000000000004,0.862,1.0,4.0,4.9,1.7,0.8,0.4,1.3,2.3,2011,0
Francisco García,29,Forward,SAC,58.0,34,23.9,9.7,0.436,0.502,0.362,0.855,0.4,1.9,2.3,1.2,0.9,0.8,0.8,2.2,2011,0
Kevin Garnett,34,Forward,BOS,71.0,71,31.3,14.9,0.528,0.53,0.2,0.862,1.2,7.7,8.9,2.4,1.3,0.8,1.6,2.1,2011,0
Marc Gasol,26,Center,MEM,81.0,81,31.9,11.7,0.527,0.528,0.429,0.748,1.9,5.1,7.0,2.5,0.9,1.7,1.8,3.3,2011,0
Pau Gasol,30,Center,LAL,82.0,82,37.0,18.8,0.529,0.53,0.333,0.823,3.3,6.9,10.2,3.3,0.6,1.6,1.7,2.5,2011,0
Rudy Gay,24,Forward,MEM,54.0,54,39.9,19.8,0.471,0.486,0.396,0.805,1.5,4.7,6.2,2.8,1.7,1.1,2.5,2.4,2011,0
Daniel Gibson,24,Guard,CLE,67.0,15,27.8,11.6,0.4,0.398,0.403,0.8220000000000001,0.4,2.3,2.6,3.0,0.7,0.3,1.2,2.3,2011,0
Manu Ginóbili,33,Guard,SAS,80.0,79,30.3,17.4,0.433,0.4970000000000001,0.349,0.871,0.5,3.2,3.7,4.9,1.5,0.4,2.2,2.0,2011,0
Drew Gooden,29,Forward,MIL,35.0,18,24.6,11.3,0.431,0.447,0.15,0.794,2.1,4.7,6.8,1.3,0.6,0.5,1.3,2.8,2011,0
Ben Gordon,27,Guard,DET,82.0,27,26.0,11.2,0.44,0.46,0.402,0.85,0.5,1.9,2.4,2.1,0.6,0.2,1.7,2.2,2011,0
Eric Gordon,22,Guard,LAC,56.0,56,37.7,22.3,0.45,0.488,0.364,0.825,0.8,2.1,2.9,4.4,1.3,0.3,2.7,2.1,2011,0
Marcin Gortat,26,Center,TOT,80.0,14,25.4,10.2,0.561,0.563,0.25,0.725,1.9,6.0,7.9,0.9,0.5,1.1,1.0,2.4,2011,0
Danny Granger,27,Forward,IND,79.0,79,35.0,20.5,0.425,0.443,0.386,0.848,1.1,4.3,5.4,2.6,1.1,0.8,2.6,2.7,2011,0
Jeff Green,24,Forward,TOT,75.0,51,32.4,13.3,0.449,0.499,0.303,0.8109999999999999,1.0,3.8,4.8,1.4,0.7,0.5,1.3,2.8,2011,0
Willie Green,29,Guard,NOP,77.0,13,21.7,8.7,0.443,0.476,0.348,0.78,0.3,1.8,2.1,1.0,0.5,0.2,0.9,1.9,2011,0
Blake Griffin,21,Forward,LAC,82.0,82,38.0,22.5,0.506,0.51,0.292,0.642,3.3,8.8,12.1,3.8,0.8,0.5,2.7,3.1,2011,0
Richard Hamilton,32,Guard,DET,55.0,39,27.2,14.1,0.429,0.442,0.382,0.8490000000000001,0.4,1.9,2.3,3.1,0.7,0.1,1.6,1.7,2011,0
Tyler Hansbrough,25,Forward,IND,70.0,29,21.9,11.0,0.465,0.466,0.0,0.779,2.1,3.2,5.2,0.6,0.5,0.2,1.1,2.3,2011,0
James Harden,21,Guard,OKC,82.0,5,26.7,12.2,0.436,0.514,0.349,0.843,0.5,2.6,3.1,2.1,1.1,0.3,1.3,2.5,2011,0
Al Harrington,30,Forward,DEN,73.0,3,22.8,10.5,0.416,0.473,0.35700000000000004,0.735,1.0,3.5,4.5,1.4,0.5,0.1,1.5,2.8,2011,0
Devin Harris,27,Guard,TOT,71.0,70,31.7,15.2,0.422,0.45,0.322,0.833,0.2,2.1,2.4,7.1,1.0,0.1,2.9,2.3,2011,0
Gerald Henderson,23,Guard,CHO,68.0,30,24.4,9.6,0.454,0.472,0.194,0.785,0.7,2.3,3.0,1.5,0.7,0.5,0.9,1.7,2011,0
Roy Hibbert,24,Center,IND,81.0,80,27.7,12.7,0.461,0.463,0.0,0.745,2.2,5.3,7.5,2.0,0.4,1.8,2.3,3.2,2011,0
J.J. Hickson,22,Center,CLE,80.0,66,28.2,13.8,0.458,0.461,0.0,0.6729999999999999,2.7,6.0,8.7,1.1,0.6,0.7,2.2,2.7,2011,0
Nenê,28,Center,DEN,75.0,75,30.5,14.5,0.615,0.618,0.2,0.711,1.9,5.7,7.6,2.0,1.1,1.0,1.8,3.2,2011,0
George Hill,24,Guard,SAS,76.0,5,28.3,11.6,0.453,0.49,0.377,0.863,0.3,2.3,2.6,2.5,0.9,0.3,1.3,2.0,2011,0
Grant Hill,38,Forward,PHO,80.0,80,30.1,13.2,0.484,0.498,0.395,0.8290000000000001,1.0,3.3,4.2,2.5,0.8,0.4,1.7,2.3,2011,0
Kirk Hinrich,30,Guard,TOT,72.0,51,30.0,10.2,0.446,0.467,0.399,0.841,0.3,2.2,2.5,4.0,1.0,0.2,1.7,2.6,2011,0
Jrue Holiday,20,Guard,PHI,82.0,82,35.4,14.0,0.446,0.47,0.365,0.823,0.8,3.2,4.0,6.5,1.5,0.4,2.7,2.5,2011,0
Al Horford,24,Center,ATL,77.0,77,35.1,15.3,0.557,0.557,0.5,0.7979999999999999,2.4,7.0,9.3,3.5,0.8,1.0,1.5,2.5,2011,0
Dwight Howard,25,Center,ORL,78.0,78,37.6,22.9,0.593,0.597,0.0,0.596,4.0,10.1,14.1,1.4,1.4,2.4,3.6,3.3,2011,1
Kris Humphries,25,Forward,BRK,74.0,44,27.9,10.0,0.527,0.527,0.0,0.665,3.0,7.4,10.4,1.1,0.4,1.1,1.4,2.3,2011,0
Serge Ibaka,21,Forward,OKC,82.0,44,27.0,9.9,0.5429999999999999,0.544,0.0,0.75,2.6,5.0,7.6,0.3,0.4,2.4,0.9,3.3,2011,0
Andre Iguodala,27,Forward,PHI,67.0,67,36.9,14.1,0.445,0.479,0.337,0.693,0.9,4.9,5.8,6.3,1.5,0.6,2.1,1.6,2011,0
Ersan İlyasova,23,Forward,MIL,60.0,34,25.1,9.5,0.436,0.479,0.298,0.894,1.8,4.3,6.1,0.9,0.9,0.4,1.1,2.7,2011,0
Jarrett Jack,27,Guard,TOT,83.0,15,20.7,8.9,0.408,0.429,0.306,0.85,0.2,1.8,2.1,2.9,0.7,0.1,1.3,1.2,2011,0
Stephen Jackson,32,Guard,CHO,67.0,67,35.9,18.5,0.411,0.449,0.337,0.816,0.8,3.7,4.5,3.6,1.2,0.4,3.1,2.4,2011,0
LeBron James,26,Forward,MIA,79.0,79,38.8,26.7,0.51,0.552,0.33,0.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,2011,1
Antawn Jamison,34,Forward,CLE,56.0,38,32.9,18.0,0.4270000000000001,0.462,0.34600000000000003,0.731,1.5,5.2,6.7,1.7,0.9,0.5,1.4,2.4,2011,0
Al Jefferson,26,Center,UTA,82.0,82,35.9,18.6,0.496,0.496,0.0,0.7609999999999999,2.9,6.8,9.7,1.8,0.6,1.9,1.3,2.9,2011,0
Richard Jefferson,30,Forward,SAS,81.0,81,30.4,11.0,0.474,0.504,0.44,0.759,0.7,3.2,3.8,1.3,0.5,0.4,1.1,2.0,2011,0
Brandon Jennings,21,Guard,MIL,63.0,61,34.4,16.2,0.39,0.422,0.32299999999999995,0.809,0.7,3.0,3.7,4.8,1.5,0.3,2.3,2.1,2011,0
Amir Johnson,23,Forward,TOR,72.0,54,25.7,9.6,0.568,0.569,0.0,0.7879999999999999,2.6,3.8,6.4,1.1,0.7,1.2,1.0,3.7,2011,0
Joe Johnson,29,Guard,ATL,72.0,72,35.5,18.2,0.443,0.494,0.297,0.802,0.8,3.2,4.0,4.7,0.7,0.1,2.0,1.8,2011,0
