Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Chandler Hutchison,23,SF,CHI,28,10,18.8,7.8,.457,.496,.316,.590,0.6,3.2,3.9,0.9,1.0,0.3,1.0,1.7,2020
Serge Ibaka,30,C,TOR,55,27,27.0,15.4,.512,.559,.385,.718,2.1,6.1,8.2,1.4,0.5,0.8,2.0,2.8,2020
Andre Iguodala,36,SF,MIA,21,0,19.9,4.6,.432,.585,.298,.400,0.8,2.9,3.7,2.4,0.7,1.0,1.2,1.7,2020
Ersan İlyasova,32,PF,MIL,63,8,15.7,6.6,.466,.545,.365,.828,1.0,3.8,4.8,0.8,0.4,0.3,0.5,1.5,2020
Joe Ingles,32,PF,UTA,72,45,29.7,9.8,.445,.525,.399,.787,0.4,3.5,3.9,5.2,0.9,0.2,2.0,2.1,2020
Brandon Ingram,22,PF,NOP,62,62,33.9,23.8,.463,.501,.391,.851,0.8,5.3,6.1,4.2,1.0,0.6,3.0,2.9,2020
Kyrie Irving,27,PG,BRK,20,20,32.9,27.4,.478,.522,.394,.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,2020
Jonathan Isaac,22,PF,ORL,34,32,28.8,11.9,.470,.521,.340,.779,1.7,5.1,6.8,1.4,1.6,2.3,1.4,2.4,2020
Wes Iwundu,25,SF,ORL,52,21,18.3,5.8,.416,.457,.341,.804,0.5,2.1,2.5,1.2,0.5,0.3,0.5,1.5,2020
Frank Jackson,21,PG,NOP,59,2,13.5,6.3,.405,.465,.326,.747,0.4,1.0,1.4,1.0,0.3,0.1,0.8,1.3,2020
Jaren Jackson Jr.,20,C,MEM,57,57,28.5,17.4,.469,.540,.394,.747,1.0,3.6,4.6,1.4,0.7,1.6,1.7,4.1,2020
Josh Jackson,22,SF,MEM,22,0,17.3,9.0,.440,.540,.319,.700,0.5,2.5,3.0,1.6,0.8,0.4,1.3,1.8,2020
Justin Jackson,24,PF,DAL,65,3,16.1,5.5,.396,.489,.294,.840,0.4,2.0,2.4,0.8,0.2,0.2,0.2,1.1,2020
Reggie Jackson,29,SG-PG,TOT,31,16,24.0,11.9,.411,.425,.393,.833,0.5,2.4,3.0,4.1,0.4,0.2,1.6,1.9,2020
Justin James,23,SF,SAC,36,0,6.4,2.5,.417,.473,.310,.476,0.2,0.7,0.9,0.5,0.2,0.3,0.2,0.5,2020
LeBron James,35,PG,LAL,67,67,34.6,25.3,.493,.564,.348,.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,2020
Amile Jefferson,26,PF,ORL,18,0,4.1,0.8,.357,.357,,.357,0.6,0.7,1.3,0.2,0.1,0.2,0.2,0.4,2020
DaQuan Jeffries,22,SG,SAC,13,0,10.8,3.8,.500,.682,.278,.833,0.2,1.2,1.4,0.5,0.3,0.1,0.2,1.5,2020
Ty Jerome,22,SG,PHO,31,0,10.6,3.3,.336,.381,.280,.750,0.2,1.3,1.5,1.4,0.5,0.1,0.6,0.9,2020
Alize Johnson,23,PF,IND,17,1,6.9,2.0,.414,.429,.375,.700,0.9,1.9,2.8,0.4,0.2,0.1,0.4,0.7,2020
B.J. Johnson,24,SF,ORL,10,0,8.3,3.0,.281,.261,.333,.900,0.3,1.2,1.5,0.3,0.3,0.0,0.6,0.3,2020
Cameron Johnson,23,PF,PHO,57,9,22.0,8.8,.435,.526,.390,.807,0.9,2.4,3.3,1.2,0.6,0.4,0.6,1.5,2020
James Johnson,32,PF-C,TOT,32,1,19.3,8.4,.479,.565,.363,.646,0.8,2.9,3.7,2.3,0.8,1.0,1.5,2.5,2020
Keldon Johnson,20,SF,SAS,17,1,17.7,9.1,.596,.597,.591,.795,0.6,2.8,3.4,0.9,0.8,0.1,0.8,1.6,2020
Stanley Johnson,23,PF,TOR,25,0,6.0,2.4,.373,.429,.292,.563,0.3,1.2,1.5,0.8,0.2,0.2,0.6,0.6,2020
